run_identifier,requesting_username,search_time_stamp,query_document,matched_query_document,top_similar_docs,threshold_match_count,sim_img_check,image_authenticity,fraud_doc_probability,global_top_docs
20251024_160414,jeeb,2025-10-24T16:04:31.887744,N2024041900468THA00100001_12.tif,N2024041900468THA00100001_12.tif,"{""N2024041900468THA00100001_12_page1_photo0"": 1.0, ""N2024041900468THA00100001_12_page1_photo1"": 1.0, ""N2024050200988THA00100001_12_page1_photo1"": 0.8616940379142761, ""N2023051801326THA00100001_13_page1_photo0"": 0.6532978713512421, ""N2024111101255THA00100001_12_page1_photo1"": 0.5068233609199524}",0,"{""N2024041900468THA00100001_12_page1_photo0"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024041900468THA00100001_12_page1_photo0.jpg"": 1.0, ""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\instance\\database_images\\N2024041900468THA00100001_12_page1_photo0.jpg"": 0.9995797394658439}}, ""N2024041900468THA00100001_12_page1_photo1"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024041900468THA00100001_12_page1_photo1.jpg"": 1.0, ""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\instance\\database_images\\N2024041900468THA00100001_12_page1_photo1.jpg"": 0.9993871356127784}}, ""N2024050200988THA00100001_12_page1_photo1"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024050200988THA00100001_12_page1_photo1.jpg"": 1.0, ""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\instance\\database_images\\N2024050200988THA00100001_12_page1_photo1.jpg"": 0.9995807210216299}}, ""N2023051801326THA00100001_13_page1_photo0"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\instance\\database_images\\N2023051801326THA00100001_13_page1_photo0.jpg"": 0.6532978713512421}}, ""N2024111101255THA00100001_12_page1_photo1"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\instance\\database_images\\N2024111101255THA00100001_12_page1_photo1.jpg"": 0.5068233609199524}}}","{""N2024041900468THA00100001_12_q_0.jpg"": ""moire"", ""N2024041900468THA00100001_12_q_1.jpg"": ""moire""}",Not Implemented,"[""N2024041900468THA00100001_12_page1_photo0"", ""N2024050200988THA00100001_12_page1_photo1"", ""N2024041900468THA00100001_12_page1_photo1"", ""N2024050200988THA00100001_12_page1_photo0"", ""N2024041900468THA00100001_13_page1_photo0"", ""N2024050200988THA00100001_13_page1_photo0"", ""N2024041900468THA00100001_13_page1_photo1""]"
20251024_160414,jeeb,2025-10-24T16:04:32.040937,N2024041900468THA00100001_13.tif,N2024041900468THA00100001_13.tif,"{""N2024041900468THA00100001_13_page1_photo0"": 1.0, ""N2024041900468THA00100001_13_page1_photo1"": 1.0, ""N2024050200988THA00100001_13_page1_photo1"": 0.8826574236154556, ""N2024050200988THA00100001_13_page1_photo0"": 0.7971794605255127, ""N2024101400236THA00100001_13_page1_photo0"": 0.5413613021373749}",0,"{""N2024041900468THA00100001_13_page1_photo0"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024041900468THA00100001_13_page1_photo0.jpg"": 1.0, ""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\instance\\database_images\\N2024041900468THA00100001_13_page1_photo0.jpg"": 0.9990778475767002}}, ""N2024041900468THA00100001_13_page1_photo1"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024041900468THA00100001_13_page1_photo1.jpg"": 1.0, ""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\instance\\database_images\\N2024041900468THA00100001_13_page1_photo1.jpg"": 0.9990882653510198}}, ""N2024050200988THA00100001_13_page1_photo1"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024050200988THA00100001_13_page1_photo1.jpg"": 1.0, ""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\instance\\database_images\\N2024050200988THA00100001_13_page1_photo1.jpg"": 0.9988343131262809}}, ""N2024050200988THA00100001_13_page1_photo0"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024050200988THA00100001_13_page1_photo0.jpg"": 1.0, ""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\instance\\database_images\\N2024050200988THA00100001_13_page1_photo0.jpg"": 0.9993473395006731}}, ""N2024101400236THA00100001_13_page1_photo0"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\instance\\database_images\\N2024101400236THA00100001_13_page1_photo0.jpg"": 0.5673573017120361}}}","{""N2024041900468THA00100001_13_q_0.jpg"": ""moire"", ""N2024041900468THA00100001_13_q_1.jpg"": ""moire""}",Not Implemented,"[""N2024041900468THA00100001_12_page1_photo0"", ""N2024050200988THA00100001_12_page1_photo1"", ""N2024041900468THA00100001_12_page1_photo1"", ""N2024050200988THA00100001_12_page1_photo0"", ""N2024041900468THA00100001_13_page1_photo0"", ""N2024050200988THA00100001_13_page1_photo0"", ""N2024041900468THA00100001_13_page1_photo1""]"
20251024_160414,jeeb,2025-10-24T16:04:32.204698,N2024050200988THA00100001_12.tif,N2024050200988THA00100001_12.tif,"{""N2024050200988THA00100001_12_page1_photo0"": 1.0, ""N2024050200988THA00100001_12_page1_photo1"": 1.0, ""N2024041900468THA00100001_12_page1_photo0"": 0.8616940379142761, ""N2023051801326THA00100001_13_page1_photo0"": 0.6343369781970978, ""N2024080100108THA00100001_12_page1_photo0"": 0.5746833682060242}",0,"{""N2024050200988THA00100001_12_page1_photo0"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024050200988THA00100001_12_page1_photo0.jpg"": 1.0, ""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\instance\\database_images\\N2024050200988THA00100001_12_page1_photo0.jpg"": 0.9990990791702643}}, ""N2024050200988THA00100001_12_page1_photo1"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024050200988THA00100001_12_page1_photo1.jpg"": 1.0, ""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\instance\\database_images\\N2024050200988THA00100001_12_page1_photo1.jpg"": 0.9995807210216299}}, ""N2024041900468THA00100001_12_page1_photo0"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024041900468THA00100001_12_page1_photo0.jpg"": 1.0, ""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\instance\\database_images\\N2024041900468THA00100001_12_page1_photo0.jpg"": 0.9995797394658439}}, ""N2023051801326THA00100001_13_page1_photo0"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\instance\\database_images\\N2023051801326THA00100001_13_page1_photo0.jpg"": 0.6532978713512421}}, ""N2024080100108THA00100001_12_page1_photo0"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\instance\\database_images\\N2024080100108THA00100001_12_page1_photo0.jpg"": 0.5746833682060242}}}","{""N2024050200988THA00100001_12_q_0.jpg"": ""moire"", ""N2024050200988THA00100001_12_q_1.jpg"": ""moire""}",Not Implemented,"[""N2024041900468THA00100001_12_page1_photo0"", ""N2024050200988THA00100001_12_page1_photo1"", ""N2024041900468THA00100001_12_page1_photo1"", ""N2024050200988THA00100001_12_page1_photo0"", ""N2024041900468THA00100001_13_page1_photo0"", ""N2024050200988THA00100001_13_page1_photo0"", ""N2024041900468THA00100001_13_page1_photo1""]"
20251024_160414,jeeb,2025-10-24T16:04:32.365341,N2024050200988THA00100001_13.tif,N2024050200988THA00100001_13.tif,"{""N2024050200988THA00100001_13_page1_photo0"": 1.0, ""N2024050200988THA00100001_13_page1_photo1"": 1.0, ""N2024041900468THA00100001_13_page1_photo1"": 0.885800763964653, ""N2024041900468THA00100001_13_page1_photo0"": 0.7971794605255127, ""N2024101400236THA00100001_13_page1_photo0"": 0.5673573017120361}",0,"{""N2024050200988THA00100001_13_page1_photo0"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024050200988THA00100001_13_page1_photo0.jpg"": 1.0, ""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\instance\\database_images\\N2024050200988THA00100001_13_page1_photo0.jpg"": 0.9993473395006731}}, ""N2024050200988THA00100001_13_page1_photo1"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024050200988THA00100001_13_page1_photo1.jpg"": 1.0, ""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\instance\\database_images\\N2024050200988THA00100001_13_page1_photo1.jpg"": 0.9988343131262809}}, ""N2024041900468THA00100001_13_page1_photo1"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024041900468THA00100001_13_page1_photo1.jpg"": 1.0, ""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\instance\\database_images\\N2024041900468THA00100001_13_page1_photo1.jpg"": 0.9990882653510198}}, ""N2024041900468THA00100001_13_page1_photo0"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024041900468THA00100001_13_page1_photo0.jpg"": 1.0, ""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\instance\\database_images\\N2024041900468THA00100001_13_page1_photo0.jpg"": 0.9990778475767002}}, ""N2024101400236THA00100001_13_page1_photo0"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\instance\\database_images\\N2024101400236THA00100001_13_page1_photo0.jpg"": 0.5673573017120361}}}","{""N2024050200988THA00100001_13_q_0.jpg"": ""moire"", ""N2024050200988THA00100001_13_q_1.jpg"": ""moire""}",Not Implemented,"[""N2024041900468THA00100001_12_page1_photo0"", ""N2024050200988THA00100001_12_page1_photo1"", ""N2024041900468THA00100001_12_page1_photo1"", ""N2024050200988THA00100001_12_page1_photo0"", ""N2024041900468THA00100001_13_page1_photo0"", ""N2024050200988THA00100001_13_page1_photo0"", ""N2024041900468THA00100001_13_page1_photo1""]"
