run_identifier,requesting_username,search_time_stamp,query_document,matched_query_document,top_similar_docs,threshold_match_count,sim_img_check,image_authenticity,fraud_doc_probability,global_top_docs,사업자등록번호,수신일자,업종명
20251020_163134,jeevan,2025-10-20T16:31:50.191890,N2023100400003THA00001.tif,N2023100400003THA00100001.tif,"{""N2023100400003THA00100001_page1_photo0"": 1.0, ""N2023100400003THA00100001_page1_photo1"": 1.0, ""N2024030602100THA00100001_13_page1_photo0"": 0.5144954323768616}",2,"{""N2023100400003THA00100001_page1_photo0"": {""explanatory_db_images"": {""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\N2023100400003THA00100001_page1_photo0.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2023100400003THA00100001_page1_photo0.jpg"": 0.9994151687715203}}, ""N2023100400003THA00100001_page1_photo1"": {""explanatory_db_images"": {""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\N2023100400003THA00100001_page1_photo1.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2023100400003THA00100001_page1_photo1.jpg"": 0.9997116178274155}}, ""N2024030602100THA00100001_13_page1_photo0"": {""explanatory_db_images"": {""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2024030602100THA00100001_13_page1_photo0.jpg"": 0.5144954323768616}}}","{""N2023100400003THA00100001_q_0.jpg"": ""printed"", ""N2023100400003THA00100001_q_1.jpg"": ""printed""}",Very_High,"[""N2023100400003THA00100001_page1_photo0"", ""N2023100400003THA00100001_page1_photo1"", ""N2023100400119THA00100001_page1_photo0"", ""N2023100400119THA00100001_page1_photo1"", ""N2023100400122THA00100001_page1_photo0"", ""N2023100400122THA00100001_page1_photo1"", ""N2024030602100THA00100001_13_page1_photo0""]",588-30-28626,2023.10.04,기타식품
20251020_163134,jeevan,2025-10-20T16:31:50.334898,N2023100400119THA00001.tif,N2023100400119THA00100001.tif,"{""N2023100400119THA00100001_page1_photo0"": 1.0, ""N2023100400119THA00100001_page1_photo1"": 1.0, ""N2023100400119THA00100001_3_page1_photo1"": 0.47270333766937256, ""N2024030602104THA00100001_12_page1_photo1"": 0.47270333766937256, ""N2023100400119THA00100001_3_page1_photo0"": 0.45774030685424805, ""N2024030602104THA00100001_12_page1_photo0"": 0.40009474754333496}",2,"{""N2023100400119THA00100001_page1_photo0"": {""explanatory_db_images"": {""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\N2023100400119THA00100001_page1_photo0.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2023100400119THA00100001_page1_photo0.jpg"": 0.9995028315461241}}, ""N2023100400119THA00100001_page1_photo1"": {""explanatory_db_images"": {""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\N2023100400119THA00100001_page1_photo1.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2023100400119THA00100001_page1_photo1.jpg"": 0.9995888266712427}}, ""N2023100400119THA00100001_3_page1_photo1"": {""explanatory_db_images"": {""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2023100400119THA00100001_3_page1_photo1.jpg"": 0.47270333766937256}}, ""N2024030602104THA00100001_12_page1_photo1"": {""explanatory_db_images"": {""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2024030602104THA00100001_12_page1_photo1.jpg"": 0.47270333766937256}}, ""N2023100400119THA00100001_3_page1_photo0"": {""explanatory_db_images"": {""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2023100400119THA00100001_3_page1_photo0.jpg"": 0.45774030685424805}}, ""N2024030602104THA00100001_12_page1_photo0"": {""explanatory_db_images"": {""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2024030602104THA00100001_12_page1_photo0.jpg"": 0.40009474754333496}}}","{""N2023100400119THA00100001_q_0.jpg"": ""printed"", ""N2023100400119THA00100001_q_1.jpg"": ""printed""}",Very_High,"[""N2023100400003THA00100001_page1_photo0"", ""N2023100400003THA00100001_page1_photo1"", ""N2023100400119THA00100001_page1_photo0"", ""N2023100400119THA00100001_page1_photo1"", ""N2023100400122THA00100001_page1_photo0"", ""N2023100400122THA00100001_page1_photo1"", ""N2024030602100THA00100001_13_page1_photo0""]",580-24-69376,2023.10.04,스포츠/레져용품점
20251020_163134,jeevan,2025-10-20T16:31:50.481624,N2023100400122THA00001.tif,N2023100400122THA00100001.tif,"{""N2023100400122THA00100001_page1_photo0"": 1.0, ""N2023100400122THA00100001_page1_photo1"": 1.0, ""N2024030602100THA00100001_13_page1_photo0"": 0.38946306705474854, ""N2024030602091THA00100001_13_page1_photo1"": 0.38143229484558105, ""N2024030602091THA00100001_13_page1_photo0"": 0.3519689440727234, ""N2023100400119THA00100001_3_page1_photo0"": 0.2752172350883484}",2,"{""N2023100400122THA00100001_page1_photo0"": {""explanatory_db_images"": {""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\N2023100400122THA00100001_page1_photo0.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2023100400122THA00100001_page1_photo0.jpg"": 0.9995660301065072}}, ""N2023100400122THA00100001_page1_photo1"": {""explanatory_db_images"": {""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\N2023100400122THA00100001_page1_photo1.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2023100400122THA00100001_page1_photo1.jpg"": 0.9989156685769558}}, ""N2024030602100THA00100001_13_page1_photo0"": {""explanatory_db_images"": {""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2024030602100THA00100001_13_page1_photo0.jpg"": 0.5144954323768616}}, ""N2024030602091THA00100001_13_page1_photo1"": {""explanatory_db_images"": {""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2024030602091THA00100001_13_page1_photo1.jpg"": 0.38143229484558105}}, ""N2024030602091THA00100001_13_page1_photo0"": {""explanatory_db_images"": {""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2024030602091THA00100001_13_page1_photo0.jpg"": 0.3519689440727234}}, ""N2023100400119THA00100001_3_page1_photo0"": {""explanatory_db_images"": {""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2023100400119THA00100001_3_page1_photo0.jpg"": 0.45774030685424805}}}","{""N2023100400122THA00100001_q_0.jpg"": ""printed"", ""N2023100400122THA00100001_q_1.jpg"": ""printed""}",Very_High,"[""N2023100400003THA00100001_page1_photo0"", ""N2023100400003THA00100001_page1_photo1"", ""N2023100400119THA00100001_page1_photo0"", ""N2023100400119THA00100001_page1_photo1"", ""N2023100400122THA00100001_page1_photo0"", ""N2023100400122THA00100001_page1_photo1"", ""N2024030602100THA00100001_13_page1_photo0""]",975-92-30705,2023.10.04,화장품점
