run_identifier,requesting_username,search_time_stamp,query_document,matched_query_document,top_similar_docs,threshold_match_count,sim_img_check,image_authenticity,fraud_doc_probability,global_top_docs,사업자등록번호,수신일자,업종명
20251020_155504,jeevan,2025-10-20T15:55:19.211613,N2023100400003THA00001.tif,N2023100400003THA00100001.tif,"{""N2023100400003THA00100001_page1_photo0"": 1.0000000522207853, ""N2023100400003THA00100001_page1_photo1"": 0.9999999976115772, ""N2024030602100THA00100001_13_page1_photo0"": 0.5144993737793632}",2,"{""N2023100400003THA00100001_page1_photo0"": {""explanatory_db_images"": {""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\N2023100400003THA00100001_page1_photo0.jpg"": 1.0000000522207853, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2023100400003THA00100001_page1_photo0.jpg"": 0.9994152356092185}}, ""N2023100400003THA00100001_page1_photo1"": {""explanatory_db_images"": {""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\N2023100400003THA00100001_page1_photo1.jpg"": 0.9999999976115772, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2023100400003THA00100001_page1_photo1.jpg"": 0.9997116660769642}}, ""N2024030602100THA00100001_13_page1_photo0"": {""explanatory_db_images"": {""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2024030602100THA00100001_13_page1_photo0.jpg"": 0.5144993737793632}}}","{""N2023100400003THA00100001_q_0.jpg"": ""printed"", ""N2023100400003THA00100001_q_1.jpg"": ""printed""}",Very_High,"[""N2023100400003THA00100001_page1_photo0"", ""N2023100400122THA00100001_page1_photo0"", ""N2023100400119THA00100001_page1_photo1"", ""N2023100400119THA00100001_page1_photo0"", ""N2023100400003THA00100001_page1_photo1"", ""N2023100400122THA00100001_page1_photo1"", ""N2024030602100THA00100001_13_page1_photo0""]",588-30-28626,2023.10.04,기타식품
20251020_155504,jeevan,2025-10-20T15:55:19.348884,N2023100400119THA00001.tif,N2023100400119THA00100001.tif,"{""N2023100400119THA00100001_page1_photo1"": 1.000000041647854, ""N2023100400119THA00100001_page1_photo0"": 1.0000000230893615, ""N2023100400119THA00100001_3_page1_photo1"": 0.47271000658152273, ""N2024030602104THA00100001_12_page1_photo1"": 0.47271000658152273, ""N2024030602104THA00100001_12_page1_photo0"": 0.4577471001152868, ""N2023100400119THA00100001_3_page1_photo0"": 0.400107148598873}",2,"{""N2023100400119THA00100001_page1_photo1"": {""explanatory_db_images"": {""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\N2023100400119THA00100001_page1_photo1.jpg"": 1.000000041647854, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2023100400119THA00100001_page1_photo1.jpg"": 0.9995888870388017}}, ""N2023100400119THA00100001_page1_photo0"": {""explanatory_db_images"": {""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\N2023100400119THA00100001_page1_photo0.jpg"": 1.0000000230893615, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2023100400119THA00100001_page1_photo0.jpg"": 0.9995028641724115}}, ""N2023100400119THA00100001_3_page1_photo1"": {""explanatory_db_images"": {""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2023100400119THA00100001_3_page1_photo1.jpg"": 0.47271000658152273}}, ""N2024030602104THA00100001_12_page1_photo1"": {""explanatory_db_images"": {""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2024030602104THA00100001_12_page1_photo1.jpg"": 0.47271000658152273}}, ""N2024030602104THA00100001_12_page1_photo0"": {""explanatory_db_images"": {""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2024030602104THA00100001_12_page1_photo0.jpg"": 0.4577471001152868}}, ""N2023100400119THA00100001_3_page1_photo0"": {""explanatory_db_images"": {""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2023100400119THA00100001_3_page1_photo0.jpg"": 0.400107148598873}}}","{""N2023100400119THA00100001_q_0.jpg"": ""printed"", ""N2023100400119THA00100001_q_1.jpg"": ""printed""}",Very_High,"[""N2023100400003THA00100001_page1_photo0"", ""N2023100400122THA00100001_page1_photo0"", ""N2023100400119THA00100001_page1_photo1"", ""N2023100400119THA00100001_page1_photo0"", ""N2023100400003THA00100001_page1_photo1"", ""N2023100400122THA00100001_page1_photo1"", ""N2024030602100THA00100001_13_page1_photo0""]",580-24-69376,2023.10.04,스포츠/레져용품점
20251020_155504,jeevan,2025-10-20T15:55:19.489100,N2023100400122THA00001.tif,N2023100400122THA00100001.tif,"{""N2023100400122THA00100001_page1_photo0"": 1.0000000442382944, ""N2023100400122THA00100001_page1_photo1"": 0.9999999957832599, ""N2024030602100THA00100001_13_page1_photo0"": 0.3894489180383089, ""N2024030602091THA00100001_13_page1_photo1"": 0.3814178855177779, ""N2024030602091THA00100001_13_page1_photo0"": 0.35195396956076574, ""N2023100400119THA00100001_3_page1_photo0"": 0.27518743186158584}",2,"{""N2023100400122THA00100001_page1_photo0"": {""explanatory_db_images"": {""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\N2023100400122THA00100001_page1_photo0.jpg"": 1.0000000442382944, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2023100400122THA00100001_page1_photo0.jpg"": 0.999566039439324}}, ""N2023100400122THA00100001_page1_photo1"": {""explanatory_db_images"": {""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\N2023100400122THA00100001_page1_photo1.jpg"": 0.9999999957832599, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2023100400122THA00100001_page1_photo1.jpg"": 0.9989156554801192}}, ""N2024030602100THA00100001_13_page1_photo0"": {""explanatory_db_images"": {""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2024030602100THA00100001_13_page1_photo0.jpg"": 0.5144993737793632}}, ""N2024030602091THA00100001_13_page1_photo1"": {""explanatory_db_images"": {""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2024030602091THA00100001_13_page1_photo1.jpg"": 0.3814178855177779}}, ""N2024030602091THA00100001_13_page1_photo0"": {""explanatory_db_images"": {""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2024030602091THA00100001_13_page1_photo0.jpg"": 0.35195396956076574}}, ""N2023100400119THA00100001_3_page1_photo0"": {""explanatory_db_images"": {""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2023100400119THA00100001_3_page1_photo0.jpg"": 0.400107148598873}}}","{""N2023100400122THA00100001_q_0.jpg"": ""printed"", ""N2023100400122THA00100001_q_1.jpg"": ""printed""}",Very_High,"[""N2023100400003THA00100001_page1_photo0"", ""N2023100400122THA00100001_page1_photo0"", ""N2023100400119THA00100001_page1_photo1"", ""N2023100400119THA00100001_page1_photo0"", ""N2023100400003THA00100001_page1_photo1"", ""N2023100400122THA00100001_page1_photo1"", ""N2024030602100THA00100001_13_page1_photo0""]",975-92-30705,2023.10.04,화장품점
