run_identifier,requesting_username,search_time_stamp,query_document,matched_query_document,top_similar_docs,threshold_match_count,sim_img_check,image_authenticity,fraud_doc_probability,global_top_docs
20251021_162426,jeeb,2025-10-21T16:24:44.515331,N2023100400003THA00100001.tif,N2023100400003THA00100001.tif,"{""N2023100400003THA00100001_page1_photo0"": 1.0, ""N2023100400003THA00100001_page1_photo1"": 1.0}",0,"{""N2023100400003THA00100001_page1_photo0"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2023100400003THA00100001_page1_photo0.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\N2023100400003THA00100001_page1_photo0.jpg"": 0.9999983130799137, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2023100400003THA00100001_page1_photo0.jpg"": 0.9994115588488057}}, ""N2023100400003THA00100001_page1_photo1"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2023100400003THA00100001_page1_photo1.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\N2023100400003THA00100001_page1_photo1.jpg"": 0.9999984256105563, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2023100400003THA00100001_page1_photo1.jpg"": 0.9997106651135255}}}","{""N2023100400003THA00100001_q_0.jpg"": ""printed"", ""N2023100400003THA00100001_q_1.jpg"": ""printed""}",Not Implemented,"[""N2023100400003THA00100001_page1_photo0"", ""N2023100400003THA00100001_page1_photo1"", ""N2023100400119THA00100001_page1_photo0"", ""N2023100400119THA00100001_3_page1_photo1"", ""N2024030602104THA00100001_12_page1_photo1"", ""N2023100400119THA00100001_page1_photo1"", ""N2023100400119THA00100001_3_page1_photo0""]"
20251021_162426,jeeb,2025-10-21T16:24:44.712721,N2023100400119THA00100001.tif,N2023100400119THA00100001.tif,"{""N2023100400119THA00100001_page1_photo0"": 1.0, ""N2023100400119THA00100001_page1_photo1"": 1.0, ""N2023100400119THA00100001_3_page1_photo1"": 0.4735792875289917, ""N2024030602104THA00100001_12_page1_photo1"": 0.4735792875289917, ""N2023100400119THA00100001_3_page1_photo0"": 0.4011547565460205, ""N2024030602104THA00100001_12_page1_photo0"": 0.4011547565460205}",0,"{""N2023100400119THA00100001_page1_photo0"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2023100400119THA00100001_page1_photo0.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\N2023100400119THA00100001_page1_photo0.jpg"": 0.9999987170145914, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2023100400119THA00100001_page1_photo0.jpg"": 0.9994961591437459}}, ""N2023100400119THA00100001_page1_photo1"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2023100400119THA00100001_page1_photo1.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\N2023100400119THA00100001_page1_photo1.jpg"": 0.9999989768793967, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2023100400119THA00100001_page1_photo1.jpg"": 0.9995858418988064}}, ""N2023100400119THA00100001_3_page1_photo1"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2023100400119THA00100001_3_page1_photo1.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2023100400119THA00100001_3_page1_photo1.jpg"": 0.9997646560659632}}, ""N2024030602104THA00100001_12_page1_photo1"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024030602104THA00100001_12_page1_photo1.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2024030602104THA00100001_12_page1_photo1.jpg"": 0.9997646560659632}}, ""N2023100400119THA00100001_3_page1_photo0"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2023100400119THA00100001_3_page1_photo0.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2023100400119THA00100001_3_page1_photo0.jpg"": 0.9987181994365528}}, ""N2024030602104THA00100001_12_page1_photo0"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024030602104THA00100001_12_page1_photo0.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2024030602104THA00100001_12_page1_photo0.jpg"": 0.9987181994365528}}}","{""N2023100400119THA00100001_q_0.jpg"": ""printed"", ""N2023100400119THA00100001_q_1.jpg"": ""printed""}",Not Implemented,"[""N2023100400003THA00100001_page1_photo0"", ""N2023100400003THA00100001_page1_photo1"", ""N2023100400119THA00100001_page1_photo0"", ""N2023100400119THA00100001_3_page1_photo1"", ""N2024030602104THA00100001_12_page1_photo1"", ""N2023100400119THA00100001_page1_photo1"", ""N2023100400119THA00100001_3_page1_photo0""]"
20251021_162426,jeeb,2025-10-21T16:24:44.890676,N2023100400119THA00100001_3.tif,N2023100400119THA00100001_3.tif,"{""N2023100400119THA00100001_3_page1_photo0"": 1.0, ""N2024030602104THA00100001_12_page1_photo0"": 1.0, ""N2023100400119THA00100001_3_page1_photo1"": 1.0, ""N2024030602104THA00100001_12_page1_photo1"": 1.0, ""N2023100400119THA00100001_page1_photo0"": 0.47626328468322754}",0,"{""N2023100400119THA00100001_3_page1_photo0"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2023100400119THA00100001_3_page1_photo0.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2023100400119THA00100001_3_page1_photo0.jpg"": 0.9987181994365528}}, ""N2024030602104THA00100001_12_page1_photo0"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024030602104THA00100001_12_page1_photo0.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2024030602104THA00100001_12_page1_photo0.jpg"": 0.9987181994365528}}, ""N2023100400119THA00100001_3_page1_photo1"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2023100400119THA00100001_3_page1_photo1.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2023100400119THA00100001_3_page1_photo1.jpg"": 0.9997646560659632}}, ""N2024030602104THA00100001_12_page1_photo1"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024030602104THA00100001_12_page1_photo1.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2024030602104THA00100001_12_page1_photo1.jpg"": 0.9997646560659632}}, ""N2023100400119THA00100001_page1_photo0"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2023100400119THA00100001_page1_photo0.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\N2023100400119THA00100001_page1_photo0.jpg"": 0.9999987170145914, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2023100400119THA00100001_page1_photo0.jpg"": 0.9994961591437459}}}","{""N2023100400119THA00100001_3_q_0.jpg"": ""printed"", ""N2023100400119THA00100001_3_q_1.jpg"": ""printed""}",Not Implemented,"[""N2023100400003THA00100001_page1_photo0"", ""N2023100400003THA00100001_page1_photo1"", ""N2023100400119THA00100001_page1_photo0"", ""N2023100400119THA00100001_3_page1_photo1"", ""N2024030602104THA00100001_12_page1_photo1"", ""N2023100400119THA00100001_page1_photo1"", ""N2023100400119THA00100001_3_page1_photo0""]"
20251021_162426,jeeb,2025-10-21T16:24:45.066775,N2023100400122THA00100001.tif,N2023100400122THA00100001.tif,"{""N2023100400122THA00100001_page1_photo0"": 1.0, ""N2023100400122THA00100001_page1_photo1"": 1.0, ""N2024030602100THA00100001_13_page1_photo0"": 0.38957297801971436, ""N2024030602091THA00100001_13_page1_photo1"": 0.3498893976211548}",0,"{""N2023100400122THA00100001_page1_photo0"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2023100400122THA00100001_page1_photo0.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\N2023100400122THA00100001_page1_photo0.jpg"": 0.9999987892920217, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2023100400122THA00100001_page1_photo0.jpg"": 0.9995668114861473}}, ""N2023100400122THA00100001_page1_photo1"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2023100400122THA00100001_page1_photo1.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\N2023100400122THA00100001_page1_photo1.jpg"": 0.9999982505280514, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2023100400122THA00100001_page1_photo1.jpg"": 0.9989007953554392}}, ""N2024030602100THA00100001_13_page1_photo0"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024030602100THA00100001_13_page1_photo0.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2024030602100THA00100001_13_page1_photo0.jpg"": 0.9994296822696924}}, ""N2024030602091THA00100001_13_page1_photo1"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024030602091THA00100001_13_page1_photo1.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2024030602091THA00100001_13_page1_photo1.jpg"": 0.9996524827438407}}}","{""N2023100400122THA00100001_q_0.jpg"": ""printed"", ""N2023100400122THA00100001_q_1.jpg"": ""printed""}",Not Implemented,"[""N2023100400003THA00100001_page1_photo0"", ""N2023100400003THA00100001_page1_photo1"", ""N2023100400119THA00100001_page1_photo0"", ""N2023100400119THA00100001_3_page1_photo1"", ""N2024030602104THA00100001_12_page1_photo1"", ""N2023100400119THA00100001_page1_photo1"", ""N2023100400119THA00100001_3_page1_photo0""]"
20251021_162426,jeeb,2025-10-21T16:24:45.241407,N2024030602077THA00100001_12.tif,N2024030602077THA00100001_12.tif,"{""N2024030602077THA00100001_12_page1_photo0"": 1.0, ""N2024030602100THA00100001_12_page1_photo0"": 1.0, ""N2024030602077THA00100001_12_page1_photo1"": 1.0, ""N2024030602100THA00100001_12_page1_photo1"": 1.0, ""N2024030602100THA00100001_13_page1_photo0"": 0.5079907774925232}",0,"{""N2024030602077THA00100001_12_page1_photo0"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024030602077THA00100001_12_page1_photo0.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2024030602077THA00100001_12_page1_photo0.jpg"": 0.999474962532986}}, ""N2024030602100THA00100001_12_page1_photo0"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024030602100THA00100001_12_page1_photo0.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2024030602100THA00100001_12_page1_photo0.jpg"": 0.999474962532986}}, ""N2024030602077THA00100001_12_page1_photo1"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024030602077THA00100001_12_page1_photo1.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2024030602077THA00100001_12_page1_photo1.jpg"": 0.998788419412449}}, ""N2024030602100THA00100001_12_page1_photo1"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024030602100THA00100001_12_page1_photo1.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2024030602100THA00100001_12_page1_photo1.jpg"": 0.998788419412449}}, ""N2024030602100THA00100001_13_page1_photo0"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024030602100THA00100001_13_page1_photo0.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2024030602100THA00100001_13_page1_photo0.jpg"": 0.9994296822696924}}}","{""N2024030602077THA00100001_12_q_0.jpg"": ""printed"", ""N2024030602077THA00100001_12_q_1.jpg"": ""printed""}",Not Implemented,"[""N2023100400003THA00100001_page1_photo0"", ""N2023100400003THA00100001_page1_photo1"", ""N2023100400119THA00100001_page1_photo0"", ""N2023100400119THA00100001_3_page1_photo1"", ""N2024030602104THA00100001_12_page1_photo1"", ""N2023100400119THA00100001_page1_photo1"", ""N2023100400119THA00100001_3_page1_photo0""]"
20251021_162426,jeeb,2025-10-21T16:24:45.411403,N2024030602091THA00100001_13.tif,N2024030602091THA00100001_13.tif,"{""N2024030602091THA00100001_13_page1_photo0"": 1.0, ""N2024030602091THA00100001_13_page1_photo1"": 1.0, ""N2024030602100THA00100001_13_page1_photo1"": 0.4491184949874878, ""N2024030602100THA00100001_13_page1_photo0"": 0.412738561630249}",0,"{""N2024030602091THA00100001_13_page1_photo0"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024030602091THA00100001_13_page1_photo0.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2024030602091THA00100001_13_page1_photo0.jpg"": 0.9987977151758969}}, ""N2024030602091THA00100001_13_page1_photo1"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024030602091THA00100001_13_page1_photo1.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2024030602091THA00100001_13_page1_photo1.jpg"": 0.9996524827438407}}, ""N2024030602100THA00100001_13_page1_photo1"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024030602100THA00100001_13_page1_photo1.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2024030602100THA00100001_13_page1_photo1.jpg"": 0.9997208875720389}}, ""N2024030602100THA00100001_13_page1_photo0"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024030602100THA00100001_13_page1_photo0.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2024030602100THA00100001_13_page1_photo0.jpg"": 0.9994296822696924}}}","{""N2024030602091THA00100001_13_q_0.jpg"": ""printed"", ""N2024030602091THA00100001_13_q_1.jpg"": ""printed""}",Not Implemented,"[""N2023100400003THA00100001_page1_photo0"", ""N2023100400003THA00100001_page1_photo1"", ""N2023100400119THA00100001_page1_photo0"", ""N2023100400119THA00100001_3_page1_photo1"", ""N2024030602104THA00100001_12_page1_photo1"", ""N2023100400119THA00100001_page1_photo1"", ""N2023100400119THA00100001_3_page1_photo0""]"
20251021_162426,jeeb,2025-10-21T16:24:45.595158,N2024030602100THA00100001_12.tif,N2024030602100THA00100001_12.tif,"{""N2024030602077THA00100001_12_page1_photo0"": 1.0, ""N2024030602100THA00100001_12_page1_photo0"": 1.0, ""N2024030602077THA00100001_12_page1_photo1"": 1.0, ""N2024030602100THA00100001_12_page1_photo1"": 1.0, ""N2024030602100THA00100001_13_page1_photo0"": 0.5079907774925232}",0,"{""N2024030602077THA00100001_12_page1_photo0"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024030602077THA00100001_12_page1_photo0.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2024030602077THA00100001_12_page1_photo0.jpg"": 0.999474962532986}}, ""N2024030602100THA00100001_12_page1_photo0"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024030602100THA00100001_12_page1_photo0.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2024030602100THA00100001_12_page1_photo0.jpg"": 0.999474962532986}}, ""N2024030602077THA00100001_12_page1_photo1"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024030602077THA00100001_12_page1_photo1.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2024030602077THA00100001_12_page1_photo1.jpg"": 0.998788419412449}}, ""N2024030602100THA00100001_12_page1_photo1"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024030602100THA00100001_12_page1_photo1.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2024030602100THA00100001_12_page1_photo1.jpg"": 0.998788419412449}}, ""N2024030602100THA00100001_13_page1_photo0"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024030602100THA00100001_13_page1_photo0.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2024030602100THA00100001_13_page1_photo0.jpg"": 0.9994296822696924}}}","{""N2024030602100THA00100001_12_q_0.jpg"": ""printed"", ""N2024030602100THA00100001_12_q_1.jpg"": ""printed""}",Not Implemented,"[""N2023100400003THA00100001_page1_photo0"", ""N2023100400003THA00100001_page1_photo1"", ""N2023100400119THA00100001_page1_photo0"", ""N2023100400119THA00100001_3_page1_photo1"", ""N2024030602104THA00100001_12_page1_photo1"", ""N2023100400119THA00100001_page1_photo1"", ""N2023100400119THA00100001_3_page1_photo0""]"
20251021_162426,jeeb,2025-10-21T16:24:45.773546,N2024030602100THA00100001_13.tif,N2024030602100THA00100001_13.tif,"{""N2024030602100THA00100001_13_page1_photo0"": 1.0, ""N2024030602100THA00100001_13_page1_photo1"": 1.0, ""N2023100400003THA00100001_page1_photo0"": 0.5119351744651794, ""N2024030602091THA00100001_13_page1_photo1"": 0.45020854473114014, ""N2024030602091THA00100001_13_page1_photo0"": 0.38510990142822266}",0,"{""N2024030602100THA00100001_13_page1_photo0"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024030602100THA00100001_13_page1_photo0.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2024030602100THA00100001_13_page1_photo0.jpg"": 0.9994296822696924}}, ""N2024030602100THA00100001_13_page1_photo1"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024030602100THA00100001_13_page1_photo1.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2024030602100THA00100001_13_page1_photo1.jpg"": 0.9997208875720389}}, ""N2023100400003THA00100001_page1_photo0"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2023100400003THA00100001_page1_photo0.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\N2023100400003THA00100001_page1_photo0.jpg"": 0.9999983130799137, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2023100400003THA00100001_page1_photo0.jpg"": 0.9994115588488057}}, ""N2024030602091THA00100001_13_page1_photo1"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024030602091THA00100001_13_page1_photo1.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2024030602091THA00100001_13_page1_photo1.jpg"": 0.9996524827438407}}, ""N2024030602091THA00100001_13_page1_photo0"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024030602091THA00100001_13_page1_photo0.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2024030602091THA00100001_13_page1_photo0.jpg"": 0.9987977151758969}}}","{""N2024030602100THA00100001_13_q_0.jpg"": ""printed"", ""N2024030602100THA00100001_13_q_1.jpg"": ""printed""}",Not Implemented,"[""N2023100400003THA00100001_page1_photo0"", ""N2023100400003THA00100001_page1_photo1"", ""N2023100400119THA00100001_page1_photo0"", ""N2023100400119THA00100001_3_page1_photo1"", ""N2024030602104THA00100001_12_page1_photo1"", ""N2023100400119THA00100001_page1_photo1"", ""N2023100400119THA00100001_3_page1_photo0""]"
20251021_162426,jeeb,2025-10-21T16:24:45.955743,N2024030602104THA00100001_12.tif,N2024030602104THA00100001_12.tif,"{""N2023100400119THA00100001_3_page1_photo0"": 1.0, ""N2024030602104THA00100001_12_page1_photo0"": 1.0, ""N2023100400119THA00100001_3_page1_photo1"": 1.0, ""N2024030602104THA00100001_12_page1_photo1"": 1.0, ""N2023100400119THA00100001_page1_photo0"": 0.47626328468322754}",0,"{""N2023100400119THA00100001_3_page1_photo0"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2023100400119THA00100001_3_page1_photo0.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2023100400119THA00100001_3_page1_photo0.jpg"": 0.9987181994365528}}, ""N2024030602104THA00100001_12_page1_photo0"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024030602104THA00100001_12_page1_photo0.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2024030602104THA00100001_12_page1_photo0.jpg"": 0.9987181994365528}}, ""N2023100400119THA00100001_3_page1_photo1"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2023100400119THA00100001_3_page1_photo1.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2023100400119THA00100001_3_page1_photo1.jpg"": 0.9997646560659632}}, ""N2024030602104THA00100001_12_page1_photo1"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2024030602104THA00100001_12_page1_photo1.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2024030602104THA00100001_12_page1_photo1.jpg"": 0.9997646560659632}}, ""N2023100400119THA00100001_page1_photo0"": {""explanatory_db_images"": {""D:\\frm_git\\hyundai_doc_auth_final\\hyundai_document_authenticator\\N2023100400119THA00100001_page1_photo0.jpg"": 1.0, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\N2023100400119THA00100001_page1_photo0.jpg"": 0.9999987170145914, ""D:\\jk\\gitas\\hyundai_document_authenticator\\hyundai_document_authenticator\\instance\\database_images\\N2023100400119THA00100001_page1_photo0.jpg"": 0.9994961591437459}}}","{""N2024030602104THA00100001_12_q_0.jpg"": ""printed"", ""N2024030602104THA00100001_12_q_1.jpg"": ""printed""}",Not Implemented,"[""N2023100400003THA00100001_page1_photo0"", ""N2023100400003THA00100001_page1_photo1"", ""N2023100400119THA00100001_page1_photo0"", ""N2023100400119THA00100001_3_page1_photo1"", ""N2024030602104THA00100001_12_page1_photo1"", ""N2023100400119THA00100001_page1_photo1"", ""N2023100400119THA00100001_3_page1_photo0""]"
